Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI
Date,,,,,,,,,,,,,,,,,,,,
2020-01-20,7651.39990234375,,24083.509765625,12224.5498046875,7682.7998046875,,24108.109375,12430.5,7639.60009765625,,24061.669921875,12216.900390625,7674.60009765625,,24080.6796875,12430.5,358980900.0,,38300000.0,491600.0
2020-01-21,7610.7001953125,3320.7900390625,23864.560546875,12169.849609375,7651.39990234375,3329.7900390625,24081.75,12230.0498046875,7550.5,3316.610107421875,23843.48046875,12162.2998046875,7651.39990234375,3321.030029296875,24072.810546875,12195.2998046875,656519300.0,4104840000.0,44600000.0,400.0
2020-01-22,7571.89990234375,3321.75,24031.349609375,12106.900390625,7637.39990234375,3337.77001953125,24040.869140625,12225.0498046875,7563.5,3320.0400390625,23831.099609375,12087.900390625,7610.7001953125,3330.02001953125,23835.490234375,12218.349609375,604636000.0,3623780000.0,49000000.0,500.0
2020-01-23,7507.7001953125,3325.5400390625,23795.439453125,12180.349609375,7572.10009765625,3326.8798828125,23910.009765625,12189.0,7503.2001953125,3301.8701171875,23779.23046875,12094.099609375,7571.89990234375,3315.77001953125,23843.509765625,12123.75,668616300.0,3766710000.0,55500000.0,867700.0
2020-01-24,7586.0,3295.469970703125,23827.1796875,12248.25,7642.2001953125,3333.179931640625,23869.380859375,12272.150390625,7507.60009765625,3281.530029296875,23755.3203125,12149.650390625,7507.7001953125,3333.10009765625,23850.119140625,12174.5498046875,605760000.0,3708780000.0,48700000.0,593200.0
2020-01-27,7412.10009765625,3243.6298828125,23343.509765625,12119.0,7586.0,3258.85009765625,23463.890625,12216.599609375,7392.7998046875,3234.5,23317.3203125,12107.0,7586.0,3247.159912109375,23427.900390625,12197.099609375,679457100.0,3831050000.0,62400000.0,441200.0
2020-01-28,7480.7001953125,3276.239990234375,23215.7109375,12055.7998046875,7491.39990234375,3285.780029296875,23243.359375,12163.5498046875,7410.39990234375,3253.219970703125,23115.150390625,12024.5,7412.10009765625,3255.35009765625,23126.9296875,12148.099609375,535852000.0,3531570000.0,64400000.0,478500.0
2020-01-29,7483.60009765625,3273.39990234375,23379.400390625,12129.5,7514.7001953125,3293.469970703125,23392.609375,12169.599609375,7462.2001953125,3271.889892578125,23214.279296875,12103.7998046875,7480.7001953125,3289.4599609375,23309.3203125,12114.900390625,525036700.0,3600250000.0,54900000.0,514400.0
2020-01-30,7382.0,3283.659912109375,22977.75,12035.7998046875,7483.60009765625,3285.909912109375,23318.5703125,12150.2998046875,7357.60009765625,3242.800048828125,22892.94921875,12010.599609375,7483.60009765625,3256.449951171875,23284.580078125,12147.75,685501900.0,3790350000.0,69600000.0,538100.0
2020-01-31,7286.0,3225.52001953125,23205.1796875,11962.099609375,7398.2998046875,3282.330078125,23421.58984375,12103.5498046875,7275.0,3214.679931640625,23139.98046875,11945.849609375,7382.0,3282.330078125,23148.919921875,12100.400390625,714049600.0,4529700000.0,75400000.0,771300.0
2020-02-03,7326.2998046875,3248.919921875,22971.939453125,11707.900390625,7360.0,3268.43994140625,23023.73046875,11749.849609375,7285.2001953125,3235.659912109375,22775.919921875,11614.5,7286.0,3235.659912109375,22874.26953125,11627.4501953125,645846700.0,3760460000.0,72500000.0,669800.0
2020-02-04,7439.7998046875,3297.590087890625,23084.58984375,11979.650390625,7442.10009765625,3306.919921875,23118.130859375,11986.150390625,7326.2998046875,3280.610107421875,22854.44921875,11783.400390625,7326.2998046875,3280.610107421875,22881.130859375,11786.25,696703600.0,3996900000.0,67900000.0,560400.0
2020-02-05,7482.5,3334.68994140625,23319.560546875,12089.150390625,7512.39990234375,3337.580078125,23414.689453125,12098.150390625,7408.5,3313.75,23241.640625,11953.349609375,7439.7998046875,3324.909912109375,23351.470703125,12005.849609375,818911400.0,4121480000.0,70300000.0,758000.0
2020-02-06,7504.7998046875,3345.780029296875,23873.58984375,12137.9501953125,7533.60009765625,3347.9599609375,23995.369140625,12160.599609375,7482.5,3334.389892578125,23625.130859375,12084.650390625,7482.5,3344.919921875,23641.099609375,12120.0,673947900.0,3887250000.0,95100000.0,565100.0
2020-02-07,7466.7001953125,3327.7099609375,23827.98046875,12098.349609375,7506.2998046875,3341.419921875,23943.44921875,12154.7001953125,7441.10009765625,3322.1201171875,23759.419921875,12073.9501953125,7504.7998046875,3335.5400390625,23899.009765625,12151.150390625,705974200.0,3733920000.0,65400000.0,473500.0
2020-02-10,7446.89990234375,3352.090087890625,23685.98046875,12031.5,7466.7001953125,3352.260009765625,23788.25,12103.5498046875,7427.89990234375,3317.77001953125,23621.720703125,11990.75,7466.7001953125,3318.280029296875,23631.7890625,12102.349609375,612817500.0,3462730000.0,56500000.0,524700.0
2020-02-11,7499.39990234375,3357.75,,12107.900390625,7529.5,3375.6298828125,,12172.2998046875,7446.89990234375,3352.719970703125,,12099.0,7446.89990234375,3365.8701171875,,12108.400390625,700689800.0,3762940000.0,,480000.0
2020-02-12,7534.39990234375,3379.449951171875,23861.2109375,12201.2001953125,7547.7001953125,3381.469970703125,23869.73046875,12231.75,7499.0,3369.719970703125,23693.720703125,12144.2998046875,7499.39990234375,3370.5,23741.2109375,12151.0,573044200.0,3930910000.0,74600000.0,411700.0
2020-02-13,7452.0,3373.93994140625,23827.73046875,12174.650390625,7534.39990234375,3385.090087890625,23908.849609375,12225.650390625,7406.89990234375,3360.52001953125,23784.310546875,12139.7998046875,7534.39990234375,3365.89990234375,23849.759765625,12219.5498046875,823565400.0,3500890000.0,64500000.0,501200.0
2020-02-14,7409.10009765625,3380.159912109375,23687.58984375,12113.4501953125,7472.89990234375,3380.68994140625,23738.419921875,12246.7001953125,7403.7001953125,3366.14990234375,23603.48046875,12091.2001953125,7452.0,3378.080078125,23714.51953125,12190.150390625,629855000.0,3419700000.0,69100000.0,622800.0
2020-02-17,7433.2998046875,,23523.240234375,12045.7998046875,7450.0,,23561.98046875,12159.599609375,7409.10009765625,,23335.990234375,12037.0,7409.10009765625,,23489.779296875,12131.7998046875,394565700.0,,54000000.0,0.0
